0 info it worked if it ends with ok
1 verbose cli [ 'node', '/usr/bin/npm', 'update', '-g' ]
2 info using npm@2.1.4
3 info using node@v0.10.32
4 verbose node symlink /usr/bin/node
5 verbose mapToRegistry name gulp
6 verbose mapToRegistry uri https://registry.npmjs.org/gulp
7 verbose mapToRegistry name mup
8 verbose mapToRegistry uri https://registry.npmjs.org/mup
9 verbose mapToRegistry name npm
10 verbose mapToRegistry uri https://registry.npmjs.org/npm
11 verbose mapToRegistry name abbrev
12 verbose mapToRegistry uri https://registry.npmjs.org/abbrev
13 verbose mapToRegistry name ansi
14 verbose mapToRegistry uri https://registry.npmjs.org/ansi
15 verbose mapToRegistry name ansicolors
16 verbose mapToRegistry uri https://registry.npmjs.org/ansicolors
17 verbose mapToRegistry name ansistyles
18 verbose mapToRegistry uri https://registry.npmjs.org/ansistyles
19 verbose mapToRegistry name archy
20 verbose mapToRegistry uri https://registry.npmjs.org/archy
21 verbose mapToRegistry name async-some
22 verbose mapToRegistry uri https://registry.npmjs.org/async-some
23 verbose mapToRegistry name block-stream
24 verbose mapToRegistry uri https://registry.npmjs.org/block-stream
25 verbose mapToRegistry name char-spinner
26 verbose mapToRegistry uri https://registry.npmjs.org/char-spinner
27 verbose mapToRegistry name child-process-close
28 verbose mapToRegistry uri https://registry.npmjs.org/child-process-close
29 verbose mapToRegistry name chmodr
30 verbose mapToRegistry uri https://registry.npmjs.org/chmodr
31 verbose mapToRegistry name chownr
32 verbose mapToRegistry uri https://registry.npmjs.org/chownr
33 verbose mapToRegistry name cmd-shim
34 verbose mapToRegistry uri https://registry.npmjs.org/cmd-shim
35 verbose mapToRegistry name columnify
36 verbose mapToRegistry uri https://registry.npmjs.org/columnify
37 verbose mapToRegistry name dezalgo
38 verbose mapToRegistry uri https://registry.npmjs.org/dezalgo
39 verbose mapToRegistry name editor
40 verbose mapToRegistry uri https://registry.npmjs.org/editor
41 verbose mapToRegistry name fs-vacuum
42 verbose mapToRegistry uri https://registry.npmjs.org/fs-vacuum
43 verbose mapToRegistry name fs-write-stream-atomic
44 verbose mapToRegistry uri https://registry.npmjs.org/fs-write-stream-atomic
45 verbose mapToRegistry name fstream
46 verbose mapToRegistry uri https://registry.npmjs.org/fstream
47 verbose mapToRegistry name fstream-npm
48 verbose mapToRegistry uri https://registry.npmjs.org/fstream-npm
49 verbose mapToRegistry name github-url-from-git
50 verbose mapToRegistry uri https://registry.npmjs.org/github-url-from-git
51 verbose mapToRegistry name github-url-from-username-repo
52 verbose mapToRegistry uri https://registry.npmjs.org/github-url-from-username-repo
53 verbose mapToRegistry name glob
54 verbose mapToRegistry uri https://registry.npmjs.org/glob
55 verbose mapToRegistry name graceful-fs
56 verbose mapToRegistry uri https://registry.npmjs.org/graceful-fs
57 verbose mapToRegistry name inflight
58 verbose mapToRegistry uri https://registry.npmjs.org/inflight
59 verbose mapToRegistry name inherits
60 verbose mapToRegistry uri https://registry.npmjs.org/inherits
61 verbose mapToRegistry name ini
62 verbose mapToRegistry uri https://registry.npmjs.org/ini
63 verbose mapToRegistry name init-package-json
64 verbose mapToRegistry uri https://registry.npmjs.org/init-package-json
65 verbose mapToRegistry name lockfile
66 verbose mapToRegistry uri https://registry.npmjs.org/lockfile
67 verbose mapToRegistry name lru-cache
68 verbose mapToRegistry uri https://registry.npmjs.org/lru-cache
69 verbose mapToRegistry name minimatch
70 verbose mapToRegistry uri https://registry.npmjs.org/minimatch
71 verbose mapToRegistry name mkdirp
72 verbose mapToRegistry uri https://registry.npmjs.org/mkdirp
73 verbose mapToRegistry name node-gyp
74 verbose mapToRegistry uri https://registry.npmjs.org/node-gyp
75 verbose mapToRegistry name nopt
76 verbose mapToRegistry uri https://registry.npmjs.org/nopt
77 verbose mapToRegistry name normalize-package-data
78 verbose mapToRegistry uri https://registry.npmjs.org/normalize-package-data
79 verbose mapToRegistry name npm-cache-filename
80 verbose mapToRegistry uri https://registry.npmjs.org/npm-cache-filename
81 verbose mapToRegistry name npm-install-checks
